Zagreb;45,8131;15,9775;Croatia;1191233290
Split;43,51;16,44;Croatia;1191440208
Rijeka;45,3272;14,4411;Croatia;1191949063
Osijek;45,5556;18,6944;Croatia;1191917921
Sesvete;45,8269;16,1111;Croatia;1191537414
Zadar;44,1194;15,2319;Croatia;1191160875
Velika Gorica;45,7;16,0667;Croatia;1191113594
Pula;44,8703;13,8456;Croatia;1191143009
Karlovac;45,4833;15,55;Croatia;1191000040
Slavonski Brod;45,1667;18,0167;Croatia;1191097030
Varazdin;46,3081;16,3378;Croatia;1191291148
Sibenik;43,735;15,8906;Croatia;1191444936
Dubrovnik;42,6403;18,1083;Croatia;1191004286
Sisak;45,4872;16,3761;Croatia;1191526652
Kastel Stari;43,55;16,35;Croatia;1191355987
Samobor;45,8;15,7167;Croatia;1191807327
Bjelovar;45,9;16,8333;Croatia;1191340640
Vinkovci;45,2911;18,8011;Croatia;1191241036
Koprivnica;46,15;16,8167;Croatia;1191924250
Cakovec;46,3858;16,4333;Croatia;1191424625
Zapresic;45,8572;15,805;Croatia;1191023090
Solin;43,5394;16,4831;Croatia;1191452143
Dakovo;45,31;18,41;Croatia;1191845338
Sinj;43,7;16,6333;Croatia;1191337250
Vukovar;45,3444;19,0025;Croatia;1191345427
Pozega;45,3331;17,6736;Croatia;1191353181
Petrinja;45,4406;16,2783;Croatia;1191586902
Kutina;45,4667;16,7833;Croatia;1191337296
Virovitica;45,8333;17,3833;Croatia;1191128636
Krizevci;46,0258;16,5425;Croatia;1191282973
Dugo Selo;45,8058;16,2331;Croatia;1191082189
Porec;45,2272;13,5958;Croatia;1191152483
Viskovo;45,3778;14,3861;Croatia;1191502082
Metkovic;43,05;17,65;Croatia;1191697358
Sveti Ivan Zelina;45,9596;16,2431;Croatia;1191628730
Jastrebarsko;45,6719;15,6511;Croatia;1191489216
Nasice;45,4833;18,1;Croatia;1191359646
Omis;43,4333;16,6833;Croatia;1191146852
Makarska;43,3;17,0333;Croatia;1191012753
Ivanic-Grad;45,7081;16,3947;Croatia;1191909415
Vrbovec;45,8833;16,4333;Croatia;1191484288
Rovinj;45,0833;13,6333;Croatia;1191599469
Ivanec;46,2264;16,1253;Croatia;1191135840
Umag;45,4333;13,5167;Croatia;1191619826
Trogir;43,5169;16,2514;Croatia;1191315860
Ogulin;45,2669;15,2248;Croatia;1191210263
Novi Marof;46,1667;16,3333;Croatia;1191054242
Nova Gradiska;45,25;17,3833;Croatia;1191025176
Knin;44,0414;16,1986;Croatia;1191313799
Krapina;46,16;15,87;Croatia;1191389404
Slatina;45,7022;17,7011;Croatia;1191732993
Gospic;44,546;15,375;Croatia;1191887616
Novska;45,3333;16,9833;Croatia;1191890693
Nedelisce;46,3833;16,3833;Croatia;1191055882
Matulji;45,3667;14,3167;Croatia;1191059723
Brdovec;45,8667;15,7667;Croatia;1191376654
Opatija;45,3333;14,3;Croatia;1191982660
Labin;45,0833;14,1167;Croatia;1191000718
Podstrana;43,48;16,58;Croatia;1191181245
Popovaca;45,5697;16,625;Croatia;1191042353
Duga Resa;45,4472;15,4958;Croatia;1191462805
Kastav;45,375;14,349;Croatia;1191243923
Daruvar;45,5929;17,2237;Croatia;1191459511
Crikvenica;45,1833;14,7;Croatia;1191344167
Valpovo;45,6667;18,4167;Croatia;1191247784
Benkovac;44,0344;15,6128;Croatia;1191830836
Cepin;45,5167;18,5667;Croatia;1191719855
Zupanja;45,07;18,7;Croatia;1191054836
Imotski;43,45;17,2167;Croatia;1191634308
Pleternica;45,2833;17,8;Croatia;1191772677
Belisce;45,6833;18,4;Croatia;1191824256
Zabok;46,0333;15,9167;Croatia;1191500303
Vodice;43,75;15,7667;Croatia;1191637879
Garesnica;45,5667;16,9333;Croatia;1191726833
Pazin;45,2403;13,9367;Croatia;1191654566
